race,driver,n_clean,rmse,mae,bias,fit_rmse,n_stops,total_laps,pit_loss,strategy
Monaco 2023,VER,66,2.6350162062385216,1.5457611146688712,-2.3684757858670007e-14,2.635016206238521,1,78,81.28800000000001,Strategy(MEDIUM -[L55]-> INTERMEDIATE)
Spain 2023,VER,61,0.2835614028912255,0.18454583173063963,-0.039025974026003496,0.26976839290352395,2,66,22.82100000000002,Strategy(MEDIUM -[L26]-> HARD -[L52]-> SOFT)
Great Britain 2023,VER,45,0.3413646980831875,0.24944406602541214,-0.14752179487178252,0.19441286857861123,1,52,21.0,Strategy(MEDIUM -[L33]-> SOFT)
Hungary 2023,VER,64,0.4568203327629116,0.30391590200660334,-0.01673819100369589,0.45564368157528035,2,70,21.719500000000004,Strategy(MEDIUM -[L23]-> HARD -[L51]-> MEDIUM)
Italy 2023,VER,48,0.2964062382954684,0.2154763133518299,-7.697546304067751e-15,0.2964062382954684,1,51,24.409000000000006,Strategy(MEDIUM -[L20]-> HARD)
